fraction,n_per_class,model,f1_mean,f1_std
0.02,24,logistic,0.8980750727371726,0.00846575762792789
0.02,24,mlp_param_matched,0.8423542356782612,0.011314700759851656
0.02,24,q_plasmanet,0.6410787940638687,0.02449951250410369
0.05,62,logistic,0.9011738673867388,0.00970902055814021
0.05,62,mlp_param_matched,0.8822182037932654,0.011976082045402051
0.05,62,q_plasmanet,0.8429041918474159,0.038738712969834395
0.1,124,logistic,0.9139959574105484,0.007249727936052106
0.1,124,mlp_param_matched,0.8895618398463423,0.0164210119827718
0.1,124,q_plasmanet,0.8427066121105652,0.01653778086347766
0.25,310,logistic,0.9197304297918153,0.007843978436088276
0.25,310,mlp_param_matched,0.9060935380216474,0.00905017915294771
0.25,310,q_plasmanet,0.9016306759317998,0.004496963195191061
0.5,620,logistic,0.9254632526620687,0.0028106341466638384
0.5,620,mlp_param_matched,0.9143705417389628,0.0028434953052522307
0.5,620,q_plasmanet,0.905463424659004,0.01069611728475536
1.0,1241,logistic,0.9224459876287426,0.0017955530593093908
1.0,1241,mlp_param_matched,0.9160774228291552,0.004502665799598897
1.0,1241,q_plasmanet,0.912304759260036,0.006001852348169064
