layers,frequency,magnitude
1,0,0.859952819905256
1,1,8.478177851647536e-16
1,2,9.371935439413245e-16
1,3,8.089505314727151e-16
1,4,9.79145424002232e-16
1,5,1.0767660282430986e-15
1,6,9.333051827541842e-16
1,7,7.983768179422008e-16
1,8,9.906555021900238e-16
1,9,6.217924743107703e-16
1,10,8.412335405552363e-16
1,11,9.038319872327881e-16
1,12,9.027835415953063e-16
1,13,1.0134819231942064e-15
1,14,8.968542535185658e-16
1,15,1.0448980543907355e-15
1,16,8.479590336346138e-16
1,17,1.0302418117348186e-15
1,18,9.593939147008946e-16
1,19,9.491096715948636e-16
1,20,7.48736165125464e-16
1,21,8.787498240187567e-16
1,22,1.0413487514408305e-15
1,23,6.789868217086036e-16
1,24,9.21709289090357e-16
1,25,9.790182342817502e-16
1,26,9.793466969596838e-16
1,27,9.321423159253735e-16
1,28,9.3430611459036e-16
1,29,1.04580797576691e-15
1,30,9.737161526557614e-16
1,31,9.628451982039818e-16
1,32,8.797690135772989e-16
1,33,1.0191710645598596e-15
1,34,9.753608860806365e-16
1,35,1.0390644831588053e-15
1,36,7.528360589509037e-16
1,37,8.53832861003164e-16
1,38,1.0375421468126697e-15
1,39,1.0401875043719116e-15
1,40,1.0489701810141727e-15
1,41,9.532669932556049e-16
1,42,7.39524038034232e-16
1,43,1.031049174037784e-15
1,44,8.2232311662151715e-16
1,45,6.857857937256842e-16
1,46,8.625816124505065e-16
1,47,8.075953939143473e-16
1,48,1.0443092479372567e-15
1,49,1.0726308094453906e-15
1,50,8.820696931567187e-16
1,51,7.142598981929161e-16
1,52,6.769098285753409e-16
1,53,7.635739612924614e-16
1,54,7.719710112737468e-16
1,55,8.429276912476512e-16
1,56,9.46888247888968e-16
1,57,7.304572082820406e-16
1,58,9.682095972780823e-16
1,59,9.974316498130974e-16
1,60,9.07193385557808e-16
1,61,9.84413660601575e-16
1,62,8.844376081211635e-16
1,63,8.964542364227967e-16
2,0,6.274770541640202
2,1,2.5490366232951946e-15
2,2,2.4067755547626054e-15
2,3,2.2300006373226434e-15
2,4,2.363196318156646e-15
2,5,2.1420309381151818e-15
2,6,1.9972797351582925e-15
2,7,2.7219564551437297e-15
2,8,2.049742773990635e-15
2,9,2.174576694719861e-15
2,10,1.8034381284704747e-15
2,11,2.192617610362322e-15
2,12,2.2640559328693154e-15
2,13,2.121767739224749e-15
2,14,1.8549101708265175e-15
2,15,2.2063427920073873e-15
2,16,2.0656704289988983e-15
2,17,2.4939846501480076e-15
2,18,2.2001581864572077e-15
2,19,1.8886695565557166e-15
2,20,2.224994167718284e-15
2,21,1.9061331378941543e-15
2,22,2.2051149597608347e-15
2,23,1.9440776952777905e-15
2,24,2.2917879125349123e-15
2,25,2.1380390880042684e-15
2,26,2.160854778451404e-15
2,27,2.3255459212427474e-15
2,28,2.2847655315469987e-15
2,29,2.5101114965948194e-15
2,30,2.366425567479982e-15
2,31,2.1600979548590638e-15
2,32,2.0470636949608235e-15
2,33,2.705626808552628e-15
2,34,2.111120981379963e-15
2,35,1.7690383226369036e-15
2,36,2.1404085218625766e-15
2,37,1.953968204332554e-15
2,38,2.360649260866331e-15
2,39,2.234075431551499e-15
2,40,2.196378695064241e-15
2,41,1.9946966162771493e-15
2,42,2.2535746491456538e-15
2,43,2.3673268047696455e-15
2,44,2.389880825212521e-15
2,45,2.1832159396185135e-15
2,46,1.75626087667536e-15
2,47,1.7273891630266865e-15
2,48,2.1419137935632696e-15
2,49,1.9619352706935288e-15
2,50,2.1613182978553756e-15
2,51,2.467539240341662e-15
2,52,1.9532669583186353e-15
2,53,2.4858243983779145e-15
2,54,2.0800455146797205e-15
2,55,2.262406209357397e-15
2,56,2.0814423458921135e-15
2,57,1.8036090221565985e-15
2,58,2.119227459372097e-15
2,59,2.107197665077547e-15
2,60,2.679637307898285e-15
2,61,2.185069212107901e-15
2,62,1.8290844803080613e-15
2,63,2.3203701639986924e-15
3,0,2.6380942774069007
3,1,2.7692366299835656
3,2,0.17316267186132747
3,3,0.08937889851045984
3,4,0.06147788377773402
3,5,0.04726738054179455
3,6,0.03856493647126087
3,7,0.03265398227470235
3,8,0.02836333593180429
3,9,0.025101334014747772
3,10,0.022535288487535204
3,11,0.02046308266774541
3,12,0.018754516722341904
3,13,0.017321775128728685
3,14,0.016103395257602644
3,15,0.01505502709664401
3,16,0.01414384003110355
3,17,0.013344996363177266
3,18,0.012639349886513754
3,19,0.01201189887829358
3,20,0.011450719198669143
3,21,0.01094621178711179
3,22,0.010490561273720509
3,23,0.010077339538386933
3,24,0.009701210781041754
