backbone,dim,seed,split,n,feat_file,lab_file,explained_var
resnet18,4,0,train,2482,feat_labeled_resnet18_d4_seed0_train.npy,lab_labeled_resnet18_d4_seed0_train.npy,0.3328935503959656
resnet18,4,0,val,532,feat_labeled_resnet18_d4_seed0_val.npy,lab_labeled_resnet18_d4_seed0_val.npy,0.3328935503959656
resnet18,4,0,test,532,feat_labeled_resnet18_d4_seed0_test.npy,lab_labeled_resnet18_d4_seed0_test.npy,0.3328935503959656
resnet18,6,0,train,2482,feat_labeled_resnet18_d6_seed0_train.npy,lab_labeled_resnet18_d6_seed0_train.npy,0.41978469491004944
resnet18,6,0,val,532,feat_labeled_resnet18_d6_seed0_val.npy,lab_labeled_resnet18_d6_seed0_val.npy,0.41978469491004944
resnet18,6,0,test,532,feat_labeled_resnet18_d6_seed0_test.npy,lab_labeled_resnet18_d6_seed0_test.npy,0.41978469491004944
resnet18,8,0,train,2482,feat_labeled_resnet18_d8_seed0_train.npy,lab_labeled_resnet18_d8_seed0_train.npy,0.48037534952163696
resnet18,8,0,val,532,feat_labeled_resnet18_d8_seed0_val.npy,lab_labeled_resnet18_d8_seed0_val.npy,0.48037534952163696
resnet18,8,0,test,532,feat_labeled_resnet18_d8_seed0_test.npy,lab_labeled_resnet18_d8_seed0_test.npy,0.48037534952163696
resnet18,4,1,train,2482,feat_labeled_resnet18_d4_seed1_train.npy,lab_labeled_resnet18_d4_seed1_train.npy,0.33328646421432495
resnet18,4,1,val,532,feat_labeled_resnet18_d4_seed1_val.npy,lab_labeled_resnet18_d4_seed1_val.npy,0.33328646421432495
resnet18,4,1,test,532,feat_labeled_resnet18_d4_seed1_test.npy,lab_labeled_resnet18_d4_seed1_test.npy,0.33328646421432495
resnet18,6,1,train,2482,feat_labeled_resnet18_d6_seed1_train.npy,lab_labeled_resnet18_d6_seed1_train.npy,0.42197185754776
resnet18,6,1,val,532,feat_labeled_resnet18_d6_seed1_val.npy,lab_labeled_resnet18_d6_seed1_val.npy,0.42197185754776
resnet18,6,1,test,532,feat_labeled_resnet18_d6_seed1_test.npy,lab_labeled_resnet18_d6_seed1_test.npy,0.42197185754776
resnet18,8,1,train,2482,feat_labeled_resnet18_d8_seed1_train.npy,lab_labeled_resnet18_d8_seed1_train.npy,0.4820292592048645
resnet18,8,1,val,532,feat_labeled_resnet18_d8_seed1_val.npy,lab_labeled_resnet18_d8_seed1_val.npy,0.4820292592048645
resnet18,8,1,test,532,feat_labeled_resnet18_d8_seed1_test.npy,lab_labeled_resnet18_d8_seed1_test.npy,0.4820292592048645
resnet18,4,2,train,2482,feat_labeled_resnet18_d4_seed2_train.npy,lab_labeled_resnet18_d4_seed2_train.npy,0.33188286423683167
resnet18,4,2,val,532,feat_labeled_resnet18_d4_seed2_val.npy,lab_labeled_resnet18_d4_seed2_val.npy,0.33188286423683167
resnet18,4,2,test,532,feat_labeled_resnet18_d4_seed2_test.npy,lab_labeled_resnet18_d4_seed2_test.npy,0.33188286423683167
resnet18,6,2,train,2482,feat_labeled_resnet18_d6_seed2_train.npy,lab_labeled_resnet18_d6_seed2_train.npy,0.41868090629577637
resnet18,6,2,val,532,feat_labeled_resnet18_d6_seed2_val.npy,lab_labeled_resnet18_d6_seed2_val.npy,0.41868090629577637
resnet18,6,2,test,532,feat_labeled_resnet18_d6_seed2_test.npy,lab_labeled_resnet18_d6_seed2_test.npy,0.41868090629577637
resnet18,8,2,train,2482,feat_labeled_resnet18_d8_seed2_train.npy,lab_labeled_resnet18_d8_seed2_train.npy,0.4793342351913452
resnet18,8,2,val,532,feat_labeled_resnet18_d8_seed2_val.npy,lab_labeled_resnet18_d8_seed2_val.npy,0.4793342351913452
resnet18,8,2,test,532,feat_labeled_resnet18_d8_seed2_test.npy,lab_labeled_resnet18_d8_seed2_test.npy,0.4793342351913452
resnet18,4,3,train,2482,feat_labeled_resnet18_d4_seed3_train.npy,lab_labeled_resnet18_d4_seed3_train.npy,0.33003872632980347
resnet18,4,3,val,532,feat_labeled_resnet18_d4_seed3_val.npy,lab_labeled_resnet18_d4_seed3_val.npy,0.33003872632980347
resnet18,4,3,test,532,feat_labeled_resnet18_d4_seed3_test.npy,lab_labeled_resnet18_d4_seed3_test.npy,0.33003872632980347
resnet18,6,3,train,2482,feat_labeled_resnet18_d6_seed3_train.npy,lab_labeled_resnet18_d6_seed3_train.npy,0.4186439514160156
resnet18,6,3,val,532,feat_labeled_resnet18_d6_seed3_val.npy,lab_labeled_resnet18_d6_seed3_val.npy,0.4186439514160156
resnet18,6,3,test,532,feat_labeled_resnet18_d6_seed3_test.npy,lab_labeled_resnet18_d6_seed3_test.npy,0.4186439514160156
resnet18,8,3,train,2482,feat_labeled_resnet18_d8_seed3_train.npy,lab_labeled_resnet18_d8_seed3_train.npy,0.4789268374443054
resnet18,8,3,val,532,feat_labeled_resnet18_d8_seed3_val.npy,lab_labeled_resnet18_d8_seed3_val.npy,0.4789268374443054
resnet18,8,3,test,532,feat_labeled_resnet18_d8_seed3_test.npy,lab_labeled_resnet18_d8_seed3_test.npy,0.4789268374443054
resnet18,4,4,train,2482,feat_labeled_resnet18_d4_seed4_train.npy,lab_labeled_resnet18_d4_seed4_train.npy,0.33207350969314575
resnet18,4,4,val,532,feat_labeled_resnet18_d4_seed4_val.npy,lab_labeled_resnet18_d4_seed4_val.npy,0.33207350969314575
resnet18,4,4,test,532,feat_labeled_resnet18_d4_seed4_test.npy,lab_labeled_resnet18_d4_seed4_test.npy,0.33207350969314575
