k_per_class,model,f1_mean,f1_std,auc_mean,auc_std
5,logistic,0.5991003951760412,0.025157212789030388,0.6800854944428611,0.034110508485091735
5,mlp_matched,0.6259646177920357,0.03283549974954133,0.6923354231974923,0.022191539025477214
5,q_reupload,0.5302496710658333,0.04859749604159086,0.5492049016813907,0.0347529195364659
10,logistic,0.6544687599460074,0.06592233166879491,0.7385066970646907,0.08242439016771068
10,mlp_matched,0.6401198241779399,0.052749679988228285,0.735846394984326,0.06641511303028189
10,q_reupload,0.4785072843559351,0.09423459588674328,0.5616614420062696,0.05352975758197914
20,logistic,0.7214387610935012,0.055395421432853094,0.8116785408948418,0.047659623020765984
20,mlp_matched,0.7159542605884305,0.04558624167003648,0.7993089199202051,0.042511231852578484
20,q_reupload,0.49033608390361527,0.0321120874114723,0.5158820176688514,0.03552114522577418
40,logistic,0.7644353612087323,0.033093566289302274,0.8618865773724707,0.035400702949944005
40,mlp_matched,0.7708960966423761,0.019625050797009453,0.862328298660587,0.026171438219396014
40,q_reupload,0.5159283723412853,0.04787034040360053,0.5614135081219722,0.048686470098498566
