seed,study,shots,noise_type,noise_p,acc,f1,auc,pr_auc,balanced_acc,cfg_qubits,cfg_depth,cfg_entanglement,cfg_encoding
0,shots,128.0,none,0.0,0.9285714285714286,0.9214876033057852,0.9734397264177828,0.9708451162957202,0.9279851809632372,8,3,circular,reupload
0,shots,512.0,none,0.0,0.9135338345864662,0.9045643153526972,0.9760330578512396,0.9737908254550184,0.9124821886577372,8,3,circular,reupload
0,shots,1024.0,none,0.0,0.9191729323308272,0.9120654396728016,0.9762895411798234,0.9737963946086312,0.919364491308065,8,3,circular,reupload
0,shots,4096.0,none,0.0,0.9154135338345863,0.9079754601226994,0.9754488458250214,0.9728263534252098,0.9155742376745512,8,3,circular,reupload
0,noise,,depolarizing,0.001,0.9191729323308272,0.9117043121149896,0.9759760615559988,0.9731914736742416,0.91902251353662,8,3,circular,reupload
0,noise,,depolarizing,0.01,0.9229323308270676,0.9147609147609148,0.976474779139356,0.9738629579021554,0.9217868338557992,8,3,circular,reupload
0,noise,,depolarizing,0.05,0.7875939849624061,0.6970509383378016,0.9784269022513536,0.9758048622246668,0.7668709033912795,8,3,circular,reupload
0,noise,,amplitude_damping,0.01,0.924812030075188,0.9173553719008264,0.9763607865488744,0.9738683942325772,0.9241949273297236,8,3,circular,reupload
0,noise,,amplitude_damping,0.05,0.8834586466165414,0.8571428571428571,0.9752351097178684,0.9723084017433457,0.8739526930749502,8,3,circular,reupload
0,noise,,phase_damping,0.01,0.9172932330827068,0.9098360655737704,0.9758050726702764,0.9730095707892762,0.9172983756055856,8,3,circular,reupload
0,noise,,phase_damping,0.05,0.9154135338345863,0.9083503054989815,0.9756625819321744,0.9726105444977324,0.915916215445996,8,3,circular,reupload
0,noise,,readout_error,0.02,0.9191729323308272,0.9117043121149896,0.9759618124821886,0.9731807458408228,0.91902251353662,8,3,circular,reupload
0,calibrated,,calibrated:ibm_typical,,0.9229323308270676,0.9147609147609148,0.9764605300655458,0.9738818528699064,0.9217868338557992,8,3,circular,reupload
1,shots,128.0,none,0.0,0.9417293233082706,0.9366053169734152,0.9803921568627452,0.9798405443466002,0.9417816509319776,8,3,circular,reupload
1,shots,512.0,none,0.0,0.9417293233082706,0.9366053169734152,0.9825992851752174,0.9828793794641008,0.9417816509319776,8,3,circular,reupload
1,shots,1024.0,none,0.0,0.9323308270676692,0.926530612244898,0.9821293804377234,0.9814627451482232,0.932476113175844,8,3,circular,reupload
1,shots,4096.0,none,0.0,0.9360902255639098,0.9308943089430894,0.9831119085252112,0.9830060981416544,0.9365913395132928,8,3,circular,reupload
1,noise,,depolarizing,0.001,0.9323308270676692,0.926530612244898,0.9832115852877098,0.9830825611296524,0.932476113175844,8,3,circular,reupload
1,noise,,depolarizing,0.01,0.9323308270676692,0.926530612244898,0.9830834294502114,0.9830141470251854,0.932476113175844,8,3,circular,reupload
1,noise,,depolarizing,0.05,0.9360902255639098,0.9291666666666668,0.9827416805502156,0.9828998266238796,0.9346262833383172,8,3,circular,reupload
1,noise,,amplitude_damping,0.01,0.9342105263157896,0.9281314168377824,0.9831261480627108,0.9830206181547732,0.9338787076195764,8,3,circular,reupload
1,noise,,amplitude_damping,0.05,0.9417293233082706,0.93446088794926,0.9830264713002124,0.9831615067977711,0.9391615760320104,8,3,circular,reupload
1,noise,,phase_damping,0.01,0.9323308270676692,0.926530612244898,0.9832115852877098,0.9830866648898234,0.932476113175844,8,3,circular,reupload
1,noise,,phase_damping,0.05,0.9342105263157896,0.9284253578732108,0.9830122317627124,0.982886818812581,0.9342062169820724,8,3,circular,reupload
1,noise,,readout_error,0.02,0.9323308270676692,0.926530612244898,0.9832115852877098,0.9830825611296524,0.932476113175844,8,3,circular,reupload
1,calibrated,,calibrated:ibm_typical,,0.9323308270676692,0.926530612244898,0.9830976689877112,0.9830751919622022,0.932476113175844,8,3,circular,reupload
2,shots,128.0,none,0.0,0.9060150375939848,0.8991935483870968,0.9659589626674266,0.9571571178965352,0.9072955257908236,8,3,circular,reupload
2,shots,512.0,none,0.0,0.9229323308270676,0.9184890656063618,0.9752921060131092,0.9661598686523424,0.9255485893416928,8,3,circular,reupload
2,shots,1024.0,none,0.0,0.9172932330827068,0.9130434782608696,0.9766600170988886,0.9725522482299616,0.9203761755485892,8,3,circular,reupload
2,shots,4096.0,none,0.0,0.9266917293233082,0.9224652087475148,0.9792390994585352,0.9737364617433832,0.9293388429752066,8,3,circular,reupload
2,noise,,depolarizing,0.001,0.9229323308270676,0.9184890656063618,0.9782844115132516,0.972923806813859,0.9255485893416928,8,3,circular,reupload
2,noise,,depolarizing,0.01,0.9229323308270676,0.9184890656063618,0.9794528355656884,0.974423997786776,0.9255485893416928,8,3,circular,reupload
2,noise,,depolarizing,0.05,0.9266917293233082,0.9224652087475148,0.9800797948133372,0.9753423934233382,0.9293388429752066,8,3,circular,reupload
2,noise,,amplitude_damping,0.01,0.9097744360902256,0.9069767441860463,0.978241664291821,0.9727875043294842,0.914505557138786,8,3,circular,reupload
2,noise,,amplitude_damping,0.05,0.7142857142857143,0.7602523659305994,0.9739241949273296,0.9658539969092856,0.7375890567113138,8,3,circular,reupload
2,noise,,phase_damping,0.01,0.924812030075188,0.9206349206349206,0.9785123966942147,0.9731978126215256,0.927614705044172,8,3,circular,reupload
2,noise,,phase_damping,0.05,0.924812030075188,0.9206349206349206,0.9794813337133086,0.9745428814189796,0.927614705044172,8,3,circular,reupload
2,noise,,readout_error,0.02,0.9229323308270676,0.9184890656063618,0.9781989170703904,0.9728298943830987,0.9255485893416928,8,3,circular,reupload
2,calibrated,,calibrated:ibm_typical,,0.9285714285714286,0.924901185770751,0.979296095753776,0.9742738446051198,0.9317469364491308,8,3,circular,reupload
3,shots,128.0,none,0.0,0.9210526315789472,0.9139344262295082,0.9757053291536052,0.9673666348562292,0.9210886292390994,8,3,circular,reupload
3,shots,512.0,none,0.0,0.9417293233082706,0.9363449691991786,0.984796238244514,0.9798824604606096,0.941764035337703,8,3,circular,reupload
3,shots,1024.0,none,0.0,0.9398496240601504,0.934959349593496,0.9860359076660016,0.9829880927800808,0.9407238529495584,8,3,circular,reupload
3,shots,4096.0,none,0.0,0.9398496240601504,0.934959349593496,0.9852522086064404,0.9808032398008376,0.9407238529495584,8,3,circular,reupload
3,noise,,depolarizing,0.001,0.943609022556391,0.9387755102040816,0.9856084354516956,0.9808611534019428,0.9441721288116272,8,3,circular,reupload
3,noise,,depolarizing,0.01,0.9417293233082706,0.9368635437881874,0.9859646622969508,0.9815378862734448,0.9424479908805928,8,3,circular,reupload
3,noise,,depolarizing,0.05,0.9417293233082706,0.9358178053830228,0.9863921345112568,0.9824013585168364,0.9410800797948132,8,3,circular,reupload
3,noise,,amplitude_damping,0.01,0.93796992481203,0.9330628803245437,0.9860359076660018,0.98203119557821,0.938999715018524,8,3,circular,reupload
3,noise,,amplitude_damping,0.05,0.93796992481203,0.9333333333333332,0.9867483613565118,0.9836581483625108,0.9393416927899688,8,3,circular,reupload
3,noise,,phase_damping,0.01,0.943609022556391,0.9387755102040816,0.9856084354516956,0.980750422795223,0.9441721288116272,8,3,circular,reupload
3,noise,,phase_damping,0.05,0.943609022556391,0.9387755102040816,0.9858506697064692,0.981011901315486,0.9441721288116272,8,3,circular,reupload
3,noise,,readout_error,0.02,0.943609022556391,0.9387755102040816,0.985636933599316,0.980821048896257,0.9441721288116272,8,3,circular,reupload
3,calibrated,,calibrated:ibm_typical,,0.93796992481203,0.9330628803245437,0.9860074095183812,0.9816699173494862,0.938999715018524,8,3,circular,reupload
4,shots,128.0,none,0.0,0.9041353383458648,0.8903225806451613,0.9733969791963524,0.9721472020981732,0.9000997435166714,8,3,circular,reupload
4,shots,512.0,none,0.0,0.9398496240601504,0.9316239316239316,0.9849672271302364,0.9832530696121724,0.93662011969222,8,3,circular,reupload
4,shots,1024.0,none,0.0,0.9417293233082706,0.9341825902335456,0.9849814762040467,0.9819883718908752,0.9390282131661444,8,3,circular,reupload
4,shots,4096.0,none,0.0,0.943609022556391,0.935897435897436,0.9853662011969222,0.9841830618062014,0.940410373325734,8,3,circular,reupload
