model,corruption,severity,acc_mean,acc_std,f1_mean,auc_mean
cnn,blur,1,0.9334586466165413,0.007818283587626124,0.9279614685616597,0.9834388239176004
cnn,blur,2,0.9338345864661655,0.008654785288136348,0.928249343514542,0.9834957610877169
cnn,blur,3,0.9349624060150376,0.009999575998699516,0.9291689884657048,0.9833504357929496
cnn,blur,4,0.9338345864661655,0.00875625165327225,0.927480734971288,0.9832221731487747
cnn,blur,5,0.9345864661654135,0.008955736277873381,0.9280911811463934,0.9830027412266219
cnn,brightness,1,0.9330827067669173,0.008364133632062813,0.9264369093926736,0.9832250305925851
cnn,brightness,2,0.9203007518796993,0.012995778960483923,0.9100654786856339,0.9807545463558283
cnn,brightness,3,0.8834586466165414,0.032092802780007285,0.8594279430864132,0.970377430161815
cnn,brightness,4,0.8229323308270677,0.05496955406446388,0.7732224534514778,0.9375989321491233
cnn,brightness,5,0.7533834586466165,0.06192175550341208,0.702854078057439,0.8876667842148807
cnn,clean,0,0.9330827067669173,0.007231347391605763,0.9275819650242616,0.9834103314917663
cnn,contrast,1,0.9349624060150376,0.010682911457430675,0.9289102827863213,0.9826010279663746
cnn,contrast,2,0.924436090225564,0.014340023400571885,0.9153781343523939,0.979150215080524
cnn,contrast,3,0.8951127819548873,0.02261114907322644,0.8761262301825953,0.9718494855483162
cnn,contrast,4,0.8518796992481203,0.030145594280796193,0.8139005046311742,0.955871544973952
cnn,contrast,5,0.7691729323308271,0.029939779760721805,0.6721811474758042,0.9117811369451383
cnn,gaussian_noise,1,0.9315789473684211,0.010928151769735842,0.9258554624592449,0.9827662733555451
cnn,gaussian_noise,2,0.9033834586466165,0.03865056590218008,0.8988976735936498,0.9717559814163362
cnn,gaussian_noise,3,0.8522556390977444,0.034573183130900964,0.8513430715818024,0.9426463301885463
cnn,gaussian_noise,4,0.8199248120300752,0.05823125030488054,0.8253580894773609,0.902794816993395
cnn,gaussian_noise,5,0.7725563909774437,0.09078188451912217,0.7898951473944752,0.8616959378438385
cnn,jpeg,1,0.9330827067669173,0.008150181725067176,0.9271217548089083,0.983005720735205
cnn,jpeg,2,0.9304511278195488,0.010295536795209885,0.9250214043787455,0.9827663534605524
cnn,jpeg,3,0.9263157894736842,0.008128476808435993,0.9197151130800743,0.9819284831261055
cnn,jpeg,4,0.9221804511278195,0.01378730888788892,0.9160902173010161,0.978013390749064
cnn,jpeg,5,0.8015037593984962,0.04960055834458214,0.8125613054480153,0.9239393492201853
