subset,seed,split,n,n_plasma,n_non_plasma,n_unknown,n_patients,leakage
labeled,0,train,2482,1130,1352,0,0,0
labeled,0,val,532,243,289,0,0,0
labeled,0,test,532,242,290,0,0,0
labeled,1,train,2482,1130,1352,0,0,0
labeled,1,val,532,242,290,0,0,0
labeled,1,test,532,243,289,0,0,0
labeled,2,train,2482,1130,1352,0,0,0
labeled,2,val,532,243,289,0,0,0
labeled,2,test,532,242,290,0,0,0
labeled,3,train,2482,1130,1352,0,0,0
labeled,3,val,532,243,289,0,0,0
labeled,3,test,532,242,290,0,0,0
labeled,4,train,2482,1130,1352,0,0,0
labeled,4,val,532,243,289,0,0,0
labeled,4,test,532,242,290,0,0,0
patient_organized,0,train,218,0,0,218,7,0
patient_organized,0,val,40,0,0,40,1,0
patient_organized,0,test,86,0,0,86,2,0
patient_organized,1,train,234,0,0,234,7,0
patient_organized,1,val,49,0,0,49,1,0
patient_organized,1,test,61,0,0,61,2,0
patient_organized,2,train,246,0,0,246,7,0
patient_organized,2,val,37,0,0,37,1,0
patient_organized,2,test,61,0,0,61,2,0
patient_organized,3,train,246,0,0,246,7,0
patient_organized,3,val,32,0,0,32,1,0
patient_organized,3,test,66,0,0,66,2,0
patient_organized,4,train,225,0,0,225,7,0
patient_organized,4,val,37,0,0,37,1,0
patient_organized,4,test,82,0,0,82,2,0
segmented,0,train,2482,1130,1352,0,0,0
segmented,0,val,532,243,289,0,0,0
segmented,0,test,532,242,290,0,0,0
segmented,1,train,2482,1130,1352,0,0,0
segmented,1,val,532,242,290,0,0,0
segmented,1,test,532,243,289,0,0,0
segmented,2,train,2482,1130,1352,0,0,0
segmented,2,val,532,243,289,0,0,0
segmented,2,test,532,242,290,0,0,0
segmented,3,train,2482,1130,1352,0,0,0
segmented,3,val,532,243,289,0,0,0
segmented,3,test,532,242,290,0,0,0
segmented,4,train,2482,1130,1352,0,0,0
segmented,4,val,532,243,289,0,0,0
segmented,4,test,532,242,290,0,0,0
