table,model,n_seeds,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi,acc_mean,acc_ci_lo,acc_ci_hi,qubits,depth,entanglement,dataset,head
baselines,cnn,5,0.9235,0.9158,0.9316,0.9825,0.981,0.9842,0.9312,0.9237,0.9383,,,,,
baselines,efficientnet_b0,5,0.9475,0.9376,0.956,0.9883,0.9859,0.9912,0.9508,0.9406,0.9594,,,,,
baselines,mobilenet_v2,5,0.949,0.9452,0.9522,0.9884,0.9866,0.9904,0.9526,0.9489,0.9556,,,,,
baselines,resnet18,5,0.9483,0.9457,0.9528,0.9888,0.9875,0.9906,0.9523,0.9496,0.9564,,,,,
quantum_main,mlp_param_matched,5,0.9323,0.925,0.9397,0.986,0.9836,0.9879,0.938,0.9316,0.9447,,,,,
quantum_main,q_plasmanet,5,0.9273,0.9174,0.9373,0.982,0.9783,0.9857,0.9331,0.9233,0.9429,,,,,
ablation,,5,0.6058,0.5853,0.6261,0.7201,0.6998,0.7371,0.691,0.6805,0.703,4.0,1.0,circular,,
ablation,,5,0.6483,0.6155,0.6782,0.7492,0.7299,0.7699,0.6959,0.6752,0.7165,4.0,1.0,full,,
ablation,,5,0.6024,0.5802,0.6244,0.7152,0.6928,0.7375,0.6876,0.6684,0.7045,4.0,1.0,linear,,
ablation,,5,0.6811,0.6551,0.7072,0.7908,0.7675,0.8143,0.7252,0.7162,0.7357,4.0,2.0,circular,,
ablation,,5,0.6847,0.6715,0.7007,0.7922,0.7732,0.8163,0.7203,0.7124,0.7301,4.0,2.0,full,,
ablation,,5,0.6643,0.6466,0.6881,0.7707,0.7518,0.7981,0.7026,0.6838,0.7214,4.0,2.0,linear,,
ablation,,5,0.7081,0.6903,0.7311,0.8123,0.7927,0.8364,0.7305,0.7056,0.7579,4.0,4.0,circular,,
ablation,,5,0.6927,0.6569,0.7289,0.8046,0.7779,0.8335,0.7244,0.6985,0.7549,4.0,4.0,full,,
ablation,,5,0.6991,0.6736,0.7245,0.8084,0.7877,0.8353,0.7376,0.7229,0.7534,4.0,4.0,linear,,
ablation,,5,0.5977,0.5663,0.6199,0.7356,0.714,0.7527,0.7102,0.6921,0.7233,6.0,1.0,circular,,
ablation,,5,0.7096,0.6756,0.7384,0.8155,0.795,0.8333,0.7496,0.7271,0.7703,6.0,1.0,full,,
ablation,,5,0.6111,0.5778,0.6431,0.7318,0.7113,0.7524,0.7124,0.6966,0.7248,6.0,1.0,linear,,
ablation,,5,0.7383,0.7149,0.7618,0.8434,0.8189,0.8673,0.7737,0.7564,0.7902,6.0,2.0,circular,,
ablation,,5,0.7501,0.7292,0.7707,0.8544,0.8444,0.8635,0.7771,0.7624,0.7906,6.0,2.0,full,,
ablation,,5,0.732,0.7104,0.7534,0.8459,0.8261,0.8621,0.7726,0.7571,0.7857,6.0,2.0,linear,,
ablation,,5,0.7692,0.7547,0.7837,0.8798,0.863,0.8949,0.7962,0.7846,0.8064,6.0,4.0,circular,,
ablation,,5,0.7743,0.7641,0.7836,0.8809,0.8695,0.8918,0.7989,0.7876,0.8109,6.0,4.0,full,,
ablation,,5,0.7722,0.7463,0.8016,0.8784,0.8623,0.8988,0.7992,0.7771,0.8229,6.0,4.0,linear,,
ablation,,5,0.5974,0.5745,0.6142,0.7396,0.7256,0.7535,0.7109,0.6962,0.7211,8.0,1.0,circular,,
ablation,,5,0.7393,0.7211,0.7609,0.8395,0.8207,0.855,0.7707,0.7526,0.7902,8.0,1.0,full,,
ablation,,5,0.6058,0.5766,0.6293,0.7318,0.7138,0.7485,0.7162,0.6981,0.7301,8.0,1.0,linear,,
ablation,,5,0.7384,0.7265,0.7525,0.852,0.8399,0.8635,0.7737,0.7647,0.7823,8.0,2.0,circular,,
ablation,,5,0.7816,0.7685,0.7934,0.8785,0.8691,0.8866,0.8019,0.7936,0.8068,8.0,2.0,full,,
ablation,,5,0.7294,0.7066,0.7538,0.8575,0.8432,0.8715,0.7722,0.7545,0.791,8.0,2.0,linear,,
ablation,,5,0.7751,0.7576,0.7953,0.887,0.8724,0.9003,0.7985,0.7872,0.8139,8.0,4.0,circular,,
ablation,,5,0.7873,0.774,0.8006,0.8851,0.875,0.8963,0.8124,0.803,0.8218,8.0,4.0,full,,
ablation,,5,0.7699,0.7572,0.7833,0.8797,0.8684,0.8925,0.8015,0.7917,0.8117,8.0,4.0,linear,,
external,,1,0.9792,0.9792,0.9792,0.9942,0.9942,0.9942,0.97,0.97,0.97,,,,bloodmnist,logistic
external,,3,0.979,0.9775,0.9817,0.992,0.9905,0.9939,0.9697,0.9677,0.9735,,,,bloodmnist,mlp_param_matched
external,,3,0.9727,0.9717,0.9743,0.9895,0.9858,0.9917,0.9608,0.9597,0.9631,,,,bloodmnist,q_plasmanet
external,,1,0.9982,0.9982,0.9982,1.0,1.0,1.0,0.9986,0.9986,0.9986,,,,pathmnist,logistic
external,,3,0.9961,0.9953,0.997,0.9997,0.9991,1.0,0.9969,0.9963,0.9977,,,,pathmnist,mlp_param_matched
external,,3,0.9967,0.9959,0.9971,1.0,0.9999,1.0,0.9974,0.9968,0.9977,,,,pathmnist,q_plasmanet
